"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28","hashtags/29"
,,,"https://www.instagram.com/explore/tags/nepaliethnicfashion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"https://www.instagram.com/explore/tags/nepaligirlootd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Nepalioutfitcheck #Nepal ko chori ……….#sabay bhai boini lay namaskar gorda chuu …. #aasa cha tapae Haru ramro hunu huncho ………. 
#likecomentshereandfollow_____________________________❤️✨🧿👀 
#nepali_instagrammers #nepalisong❤️ #myfavoritesong","YOR’&A_🗡️🇯🇵🎀","_thorn_prncess","https://www.instagram.com/p/DOp-6FBAP8k/","47","","252","2025-09-16T08:12:46.000Z",,"Nepalioutfitcheck","Nepal","sabay","aasa","likecomentshereandfollow_____________________________❤️✨🧿👀","nepali_instagrammers","nepalisong❤️","myfavoritesong",,,,,,,,,,,,,,,,,,,,,,
"𝐆𝐫𝐚𝐜𝐞 𝐫𝐨𝐨𝐭𝐞𝐝 𝐢𝐧 𝐡𝐞𝐫𝐢𝐭𝐚𝐠𝐞, 𝐬𝐭𝐲𝐥𝐞𝐝 𝐟𝐨𝐫 𝐭𝐨𝐝𝐚𝐲.
Step into the beauty of tradition with our 𝐒𝐮𝐛𝐛𝐚 𝐒𝐞𝐭 𝐂𝐨𝐭𝐭𝐨𝐧 𝐈𝐤𝐚𝐭 𝐆𝐨𝐰𝐧 𝐃𝐫𝐞𝐬𝐬—a vibrant blend of cultural elegance and modern comfort. Perfectly crafted for Subba & Limbu women who love wearing their identity with pride. ❤️

Explore the details, feel the craftsmanship, and bring home a piece that honors your story.

👉 𝐒𝐡𝐨𝐩 𝐭𝐡𝐢𝐬 𝐥𝐨𝐨𝐤 𝐧𝐨𝐰 𝐚𝐭 𝐁𝐡𝐮𝐭𝐢𝐛
🔗 𝐕𝐢𝐬𝐢𝐭: 𝐛𝐡𝐮𝐭𝐢𝐛.𝐜𝐨𝐦
Your perfect traditional-meets-modern outfit is just a tap away. 🌸
𝐄𝐱𝐩𝐥𝐨𝐫𝐞 • 𝐒𝐡𝐨𝐩 • 𝐖𝐞𝐚𝐫 𝐰𝐢𝐭𝐡 𝐩𝐫𝐢𝐝𝐞

#Bhutib #SubbaDress #LimbuDress #IkatFashion #CottonIkat #EthnicWearNepal #TraditionalFashion #NepaliFashion #NepaliEthnicWear #HimaliFashion #CulturalWear #HeritageStyle #ShopNepalOnline #EthnicElegance #WomenOfNepal #NepaliWomenStyle #EthnicGown #CulturalIdentity #FashionWithMeaning #ShopBhutib #BhutibCollection","BHUTIB","bhutibofficial","https://www.instagram.com/p/DSVDyzykslL/","0","","1","2025-12-16T15:16:59.000Z",,"Bhutib","SubbaDress","LimbuDress","IkatFashion","CottonIkat","EthnicWearNepal","TraditionalFashion","NepaliFashion","NepaliEthnicWear","HimaliFashion","CulturalWear","HeritageStyle","ShopNepalOnline","EthnicElegance","WomenOfNepal","NepaliWomenStyle","EthnicGown","CulturalIdentity","FashionWithMeaning","ShopBhutib","BhutibCollection",,,,,,,,,
"Elegance that speaks of tradition and luxury ✨
Our 𝐄𝐦𝐛𝐫𝐨𝐢𝐝𝐞𝐫𝐞𝐝 𝐕𝐞𝐥𝐯𝐞𝐭 𝐌𝐚𝐧𝐝𝐚𝐫𝐢𝐧-𝐂𝐨𝐥𝐥𝐚𝐫 𝐁𝐥𝐨𝐮𝐬𝐞 𝐰𝐢𝐭𝐡 𝐆𝐨𝐥𝐝 𝐏𝐢𝐩𝐢𝐧𝐠 is crafted for the modern Nepali woman who loves timeless style with a premium touch.

🖤 Perfect for festivals, weddings, or elevating your everyday ethnic look.
✨ Premium velvet | Delicate gold piping | Flattering mandarin collar

👉𝐄𝐱𝐩𝐥𝐨𝐫𝐞 & 𝐬𝐡𝐨𝐩 𝐭𝐡𝐢𝐬 𝐥𝐚𝐭𝐞𝐬𝐭 𝐚𝐫𝐫𝐢𝐯𝐚𝐥 𝐚𝐭 𝐁𝐡𝐮𝐭𝐢𝐛:
🌐 𝐡𝐭𝐭𝐩𝐬://𝐛𝐡𝐮𝐭𝐢𝐛.𝐜𝐨𝐦/

Tap the link in bio, fall in love with the details, and bring home a piece of elegance today 💛

#NepaliFashion #NepalStyle #EthnicWearNepal #VelvetBlouse #NepaliWomenStyle #FestivalWearNepal #BoutiqueNepal #shopindiaonline #Bhutib #TraditionalFashion #NepaliClothingBrand #MandarinCollarBlouse #EthnicOutfitIdeas #WeddingWearNepal #WomenFashionNepal #DesignerBlouseNepal #HandcraftedFashion #NepaliEthnicWear","BHUTIB","bhutibofficial","https://www.instagram.com/p/DSISUGuEhRM/","0","","1","2025-12-11T16:13:45.000Z",,"NepaliFashion","NepalStyle","EthnicWearNepal","VelvetBlouse","NepaliWomenStyle","FestivalWearNepal","BoutiqueNepal","shopindiaonline","Bhutib","TraditionalFashion","NepaliClothingBrand","MandarinCollarBlouse","EthnicOutfitIdeas","WeddingWearNepal","WomenFashionNepal","DesignerBlouseNepal","HandcraftedFashion","NepaliEthnicWear",,,,,,,,,,,,
"Louis Vuitton OnTheGo Tote Bag 

Step up your style game with this luxurious Louis Vuitton OnTheGo Tote. Featuring the iconic Monogram Empreinte embossed leather, this bag is the perfect mix of elegance and everyday practicality. With its spacious interior, sturdy top handles, and gold-tone hardware, it’s ideal for both professional and casual looks.

Whether you’re heading to a meeting, brunch with friends, or a weekend getaway, this LV tote adds a timeless touch to your outfit. Made from high-quality materials, it’s not just a fashion statement – it’s an investment in style.

Features:
	•	Premium embossed Monogram leather
	•	Spacious interior with multiple compartments
	•	Dual top handles & detachable strap for versatile carry
	•	Classic gold-tone hardware details
	•	Perfect for office, travel & daily use

Available Now – Limited Stock!

#LouisVuittonNepal #NepalFashion #LuxuryNepal #LVBagNepal #NepalShoppingOnline #StyleInNepal #NepaliFashionista #LVNepal #NepaliStyle #NepalBags #LuxuryLifeNepal #NepalTrends #NepaliWomenStyle #NepalBagsLovers #nepalluxuryrealestate","","nepstop","https://www.instagram.com/p/DRjsdF4Evq4/","0","","2","2025-11-27T11:10:16.000Z",,"LouisVuittonNepal","NepalFashion","LuxuryNepal","LVBagNepal","NepalShoppingOnline","StyleInNepal","NepaliFashionista","LVNepal","NepaliStyle","NepalBags","LuxuryLifeNepal","NepalTrends","NepaliWomenStyle","NepalBagsLovers","nepalluxuryrealestate",,,,,,,,,,,,,,,
"✨ 𝐄𝐥𝐞𝐠𝐚𝐧𝐜𝐞 𝐫𝐨𝐨𝐭𝐞𝐝 𝐢𝐧 𝐜𝐮𝐥𝐭𝐮𝐫𝐞.
Confidence woven in cotton.
Step into the timeless beauty of the 𝐆𝐮𝐫𝐮𝐧𝐠 𝐏𝐡𝐚𝐫𝐢𝐚/𝐋𝐮𝐧𝐠𝐢 𝐖𝐫𝐚𝐩 𝐒𝐤𝐢𝐫𝐭 — a classic worn proudly by Nepali Gurung women.
Soft, breathable, and beautifully patterned, this wrap skirt brings heritage into everyday style. 💚

𝐄𝐱𝐩𝐥𝐨𝐫𝐞 𝐭𝐡𝐞 𝐟𝐮𝐥𝐥 𝐥𝐨𝐨𝐤 & 𝐬𝐡𝐨𝐩 𝐧𝐨𝐰 𝐚𝐭 𝐛𝐡𝐮𝐭𝐢𝐛.𝐜𝐨𝐦— because your wardrobe deserves a touch of tradition. 🌿✨
👇
Tap the link in bio to order today!

#GurungPharia #LungiWrapSkirt #NepaliDress #Bhutib #EthnicWearNepal #NepaliFashion #TraditionalWear #CottonWrapSkirt #NepaliWomenStyle #EthnicSkirt #CulturalFashion #NepaliCulture #HandmadeFashion #NepalClothing #WomenWrapSkirt #HeritageFashion #EthnicOutfit #CulturalStyle #BohoSkirt #BohoFashion #SustainableFashionNepal #HandwovenLove #ShopNow #NewArrival #FashionForWomen","BHUTIB","bhutibofficial","https://www.instagram.com/p/DRVBz8cklaM/","0","","0","2025-11-21T18:28:17.000Z",,"GurungPharia","LungiWrapSkirt","NepaliDress","Bhutib","EthnicWearNepal","NepaliFashion","TraditionalWear","CottonWrapSkirt","NepaliWomenStyle","EthnicSkirt","CulturalFashion","NepaliCulture","HandmadeFashion","NepalClothing","WomenWrapSkirt","HeritageFashion","EthnicOutfit","CulturalStyle","BohoSkirt","BohoFashion","SustainableFashionNepal","HandwovenLove","ShopNow","NewArrival","FashionForWomen",,,,,
"✨ 𝐆𝐫𝐚𝐜𝐞 𝐫𝐨𝐨𝐭𝐞𝐝 𝐢𝐧 𝐡𝐞𝐫𝐢𝐭𝐚𝐠𝐞, 𝐬𝐭𝐲𝐥𝐞𝐝 𝐟𝐨𝐫 𝐭𝐨𝐝𝐚𝐲.
Step into the beauty of tradition with our 𝐒𝐮𝐛𝐛𝐚 𝐒𝐞𝐭 𝐂𝐨𝐭𝐭𝐨𝐧 𝐈𝐤𝐚𝐭 𝐆𝐨𝐰𝐧 𝐃𝐫𝐞𝐬𝐬—a vibrant blend of cultural elegance and modern comfort. Perfectly crafted for Subba & Limbu women who love wearing their identity with pride. ❤️

Explore the details, feel the craftsmanship, and bring home a piece that honors your story.

👉 𝐒𝐡𝐨𝐩 𝐭𝐡𝐢𝐬 𝐥𝐨𝐨𝐤 𝐧𝐨𝐰 𝐚𝐭 𝐁𝐡𝐮𝐭𝐢𝐛
🔗 𝐕𝐢𝐬𝐢𝐭: 𝐛𝐡𝐮𝐭𝐢𝐛.𝐜𝐨𝐦
Your perfect traditional-meets-modern outfit is just a tap away. 🌸
𝐄𝐱𝐩𝐥𝐨𝐫𝐞 • 𝐒𝐡𝐨𝐩 • 𝐖𝐞𝐚𝐫 𝐰𝐢𝐭𝐡 𝐩𝐫𝐢𝐝𝐞

#Bhutib #SubbaDress #LimbuDress #IkatFashion #CottonIkat #EthnicWearNepal #TraditionalFashion #NepaliFashion #NepaliEthnicWear #HimaliFashion #CulturalWear #HeritageStyle #ShopNepalOnline #EthnicElegance #WomenOfNepal #NepaliWomenStyle #EthnicGown #CulturalIdentity #FashionWithMeaning #ShopBhutib #BhutibCollection","BHUTIB","bhutibofficial","https://www.instagram.com/p/DRUkBgfkgGc/","0","","0","2025-11-21T14:07:59.000Z",,"Bhutib","SubbaDress","LimbuDress","IkatFashion","CottonIkat","EthnicWearNepal","TraditionalFashion","NepaliFashion","NepaliEthnicWear","HimaliFashion","CulturalWear","HeritageStyle","ShopNepalOnline","EthnicElegance","WomenOfNepal","NepaliWomenStyle","EthnicGown","CulturalIdentity","FashionWithMeaning","ShopBhutib","BhutibCollection",,,,,,,,,
"Minimal looks, maximum ease.
📍 Location - Durbarmarg, kathmandu
🚚 Delivery all over Nepal available!

#WeekendVibes #NepaliFashion #NepalOOTD #ComfyAndChic #BalenoStyle #EffortlessStyle #NepaliWomenStyle #NepaliOOTD #WeekendVibes #ComfyAndChic #NepalStyle #BalenoStyle #EffortlessLook #NepaliWomenStyle #WeekendStyle #NepaliFashion #NepalOOTD #CasualChic","baleno.nepal","baleno.nepal","https://www.instagram.com/p/DQ_TuBIlhHi/","0","","0","2025-11-13T08:01:28.000Z",,"WeekendVibes","NepaliFashion","NepalOOTD","ComfyAndChic","BalenoStyle","EffortlessStyle","NepaliWomenStyle","NepaliOOTD","NepalStyle","EffortlessLook","WeekendStyle","CasualChic",,,,,,,,,,,,,,,,,,
"Because beauty always starts from within. ✨
#TheEthnicStop #EverydayElegance #NepaliWomenStyle","The Ethnic Stop | Ethnic Jewelry Nepal","the.ethnic.stop","https://www.instagram.com/p/DQue_ONE384/","0","","3","2025-11-06T19:12:50.000Z",,"TheEthnicStop","EverydayElegance","NepaliWomenStyle",,,,,,,,,,,,,,,,,,,,,,,,,,,
