"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26"
"Tag that friend 😂
#HeshelaNewaKhajaGhar #samosa #tarkari #rockdale #nepalilocalstyle","Heshela Newa Khaja Ghar","heshela_newa","https://www.instagram.com/p/CtdjoGMh1Vp/","0","","101","2023-06-14T07:08:33.000Z",,"HeshelaNewaKhajaGhar","samosa","tarkari","rockdale","nepalilocalstyle",,,,,,,,,,,,,,,,,,,,,,
"New arrival Coord Set ❤️ 
Please Direct message on Facebook, Instagram or WhatsApp for order 🙏🏻 
✳️ Delivery all over Nepal and worldwide shipping ✈️✈️ 
✅ WhatsApp: 9849220566 or 9813717311 

#donishashoppingstore #fyp #allnepaldelivery #viralvideo #foryoupage","Donisha Shopping Store","donishaofficial","https://www.instagram.com/p/DZC5dKrNKSe/","1","","41","2026-06-01T13:40:46.000Z",,"donishashoppingstore","fyp","allnepaldelivery","viralvideo","foryoupage",,,,,,,,,,,,,,,,,,,,,,
"#highqulity #kurthisets❤️ #size M to XXL#foryourpage❤️❤️ #allnepaldelivery","Sama","remember_collection_","https://www.instagram.com/p/DUUMnWTE_NG/","0","","1","2026-02-04T00:18:43.000Z",,"highqulity","kurthisets❤️","size","foryourpage❤️❤️","allnepaldelivery",,,,,,,,,,,,,,,,,,,,,,
"#NewArrivals #dmus9804824055 #allnepaldelivery #pratibhafancystore #videoviral @highlight Pratibha Fancy Store Viral Video","Pratibha Majhi","sharadmajhi7","https://www.instagram.com/p/DZCqDWDnKvy/","0","","3","2026-06-01T11:25:34.000Z",,"NewArrivals","dmus9804824055","allnepaldelivery","pratibhafancystore","videoviral",,,,,,,,,,,,,,,,,,,,,,
"#microderma #allproductavaillabe #allnepaldelivery #naturalproduct","Micro Derma","microderma12","https://www.instagram.com/p/DVfOp2nCGvQ/","0","","2","2026-03-05T04:11:50.000Z",,"microderma","allproductavaillabe","allnepaldelivery","naturalproduct",,,,,,,,,,,,,,,,,,,,,,,
"VALLEY TOP TAILORS Shirting And Suiting - Luxury Wears 🧥 
We provide different services like 
I.) Shirting and Suiting 👉 
ii.) Unisex clothes according to your preferences 😦 
iii.) party Wear 👉 
iv.) Office wear 👉 
v.) Groom Dresses 👉 and so on 
✅️We provide best quality materials stitches with great experts Tailoring 🪡🧥 
✅️We can also customize according to your preferences 😦 ❤️ 
✅️We also provide worldwide delivery facilities ✈️🚚 
✅️Free parking space available 🅿️ . 
➡️FOR ADDITIONAL INFORMATION:
➡️WhatsApp:9849157803
▶️Address: MAITIDEVI, SETOPUL, KTM 

#Valley top tailors shirtingandsuiting
#AllNepaldelivery
#fastworldwidedelivery ✈️
#shirtingsuiting
#maitidevi, setopul, KTM","VALLEY TOP TAILORS","valley_top_tailors_","https://www.instagram.com/p/DTEm3eZAfRt/","0","","1","2026-01-04T02:29:46.000Z",,"Valley","AllNepaldelivery","fastworldwidedelivery","shirtingsuiting","maitidevi,",,,,,,,,,,,,,,,,,,,,,,
"“Dressed for endless summer adventures ☀️👕 #SummerVibes” #allnepaldelivery","The Factory | Men's Fashion","thefactory__store","https://www.instagram.com/p/C4hXgFgSLG-/","0","","146","2024-03-15T04:24:18.000Z",,"SummerVibes”","allnepaldelivery",,,,,,,,,,,,,,,,,,,,,,,,,
"Saree available only 999 
Dm to order #sareecollection #sareefashion #allnepaldelivery #lagaaostore","Lagaao Store","lagaaostore","https://www.instagram.com/p/DT5E_-Rkv62/","0","","4","2026-01-24T11:32:14.000Z",,"sareecollection","sareefashion","allnepaldelivery","lagaaostore",,,,,,,,,,,,,,,,,,,,,,,
"A white rose, a delicate expression of purity..🤍 #himalayafloriculture #farmfreshflowers #bouquetnearbyme #flowersnearbyme #homedelivery #allnepaldelivery #decoration #floralideas #instantdelivery #flowershop #flowerslovers #kathmandudelivery #lalitpurdelivery #bhaktapurdelivery","हिमालया Floriculture","himalayafloriculture","https://www.instagram.com/p/C7g1-LKyFsB/","0","","100","2024-05-28T13:11:24.000Z",,"himalayafloriculture","farmfreshflowers","bouquetnearbyme","flowersnearbyme","homedelivery","allnepaldelivery","decoration","floralideas","instantdelivery","flowershop","flowerslovers","kathmandudelivery","lalitpurdelivery","bhaktapurdelivery",,,,,,,,,,,,,
"Darpancollection Location narayanghad junhall road chitwan #allnepaldelivery #tiktok #viber #WhatsApp #instagram facebookpageallnepaldelivery number 977 9845153995","Sangita Gurung","darpan_collection_offical","https://www.instagram.com/p/DZFAnUiMfuj/","0","","0","2026-06-02T09:23:36.000Z",,"allnepaldelivery","tiktok","viber","WhatsApp","instagram",,,,,,,,,,,,,,,,,,,,,,
